Engine,test,sf,query,fabric_02,fabric_04,fabric_08,fabric_16,local_08
mounted_storage_duckdb,tpcds,100.0,47,52.55,16.77,8.14,4.47,13.54
mounted_storage_duckdb,tpcds,100.0,48,0.83,10.23,0.47,0.48,0.6
mounted_storage_duckdb,tpcds,100.0,49,127.03,32.19,8.72,12.84,8.79
mounted_storage_duckdb,tpcds,100.0,50,51.46,22.88,7.33,3.83,7.02
mounted_storage_duckdb,tpcds,100.0,51,66.58,26.45,14.18,11.67,17.72
mounted_storage_duckdb,tpcds,100.0,52,46.39,7.26,14.58,2.0,2.47
mounted_storage_duckdb,tpcds,100.0,53,21.94,0.31,0.31,0.28,0.21
mounted_storage_duckdb,tpcds,100.0,54,167.74,70.69,28.08,12.8,14.92
mounted_storage_duckdb,tpcds,100.0,55,70.72,19.58,4.0,2.23,2.3
mounted_storage_duckdb,tpcds,100.0,56,83.72,29.41,14.8,3.44,3.52
mounted_storage_duckdb,tpcds,100.0,57,15.33,5.03,2.45,1.55,4.02
mounted_storage_duckdb,tpcds,100.0,58,42.48,9.43,5.08,3.03,3.22
mounted_storage_duckdb,tpcds,100.0,59,48.46,15.06,7.6,4.07,8.82
mounted_storage_duckdb,tpcds,100.0,60,83.62,27.67,6.58,3.76,3.98
mounted_storage_duckdb,tpcds,100.0,61,118.85,24.57,12.71,6.98,8.13
mounted_storage_duckdb,tpcds,100.0,62,21.04,4.86,2.58,3.67,2.6
mounted_storage_duckdb,tpcds,100.0,63,0.58,9.77,0.75,0.29,0.25
mounted_storage_duckdb,tpcds,100.0,64,126.62,46.94,20.17,9.75,14.5
mounted_storage_duckdb,tpcds,100.0,65,97.86,40.38,11.3,6.05,12.47
mounted_storage_duckdb,tpcds,100.0,66,60.27,21.71,3.93,2.27,5.04
mounted_storage_duckdb,tpcds,100.0,67,176.6,106.38,54.01,24.35,101.26
mounted_storage_duckdb,tpcds,100.0,68,97.11,42.11,10.2,15.72,9.73
mounted_storage_duckdb,tpcds,100.0,69,68.86,35.16,16.81,10.11,3.35
mounted_storage_duckdb,tpcds,100.0,70,80.32,18.42,8.3,4.47,8.86
mounted_storage_duckdb,tpcds,100.0,71,63.13,11.52,6.52,7.2,4.49
mounted_storage_duckdb,tpcds,100.0,72,46.06,13.63,6.69,6.36,8.66
mounted_storage_duckdb,tpcds,100.0,73,67.81,2.04,0.76,0.36,0.29
mounted_storage_duckdb,tpcds,100.0,74,71.24,39.72,14.58,8.29,14.02
mounted_storage_duckdb,tpcds,100.0,75,145.12,37.61,14.46,8.17,13.33
mounted_storage_duckdb,tpcds,100.0,76,81.94,38.05,14.45,4.42,5.92
mounted_storage_duckdb,tpcds,100.0,77,97.14,16.5,13.03,4.54,5.6
mounted_storage_duckdb,tpcds,100.0,78,143.41,40.24,18.6,10.49,25.55
mounted_storage_duckdb,tpcds,100.0,79,69.14,35.86,9.63,5.26,7.53
mounted_storage_duckdb,tpcds,100.0,80,128.65,51.26,15.65,6.55,9.38
mounted_storage_duckdb,tpcds,100.0,81,11.18,6.1,1.75,1.47,1.59
mounted_storage_duckdb,tpcds,100.0,82,39.11,6.11,2.51,1.46,3.19
mounted_storage_duckdb,tpcds,100.0,83,7.0,2.0,1.45,1.29,1.06
mounted_storage_duckdb,tpcds,100.0,84,1.86,1.12,1.0,0.72,0.68
mounted_storage_duckdb,tpcds,100.0,85,1.15,0.74,0.66,0.55,0.6
mounted_storage_duckdb,tpcds,100.0,86,5.8,2.74,1.69,1.0,1.39
mounted_storage_duckdb,tpcds,100.0,87,80.49,31.93,17.04,3.99,8.86
mounted_storage_duckdb,tpcds,100.0,88,149.07,90.26,27.82,15.09,29.21
mounted_storage_duckdb,tpcds,100.0,89,20.02,9.73,4.76,2.56,5.96
mounted_storage_duckdb,tpcds,100.0,90,21.26,11.01,2.32,1.65,2.62
mounted_storage_duckdb,tpcds,100.0,91,4.32,2.94,1.95,0.82,0.53
mounted_storage_duckdb,tpcds,100.0,92,7.23,3.46,1.96,1.28,1.71
mounted_storage_duckdb,tpcds,100.0,93,45.86,3.74,7.99,0.84,2.18
mounted_storage_duckdb,tpcds,100.0,94,10.83,5.51,3.41,1.8,3.44
mounted_storage_duckdb,tpcds,100.0,95,59.63,29.95,16.4,10.35,33.47
mounted_storage_duckdb,tpcds,100.0,96,34.17,20.6,8.49,11.35,4.19
mounted_storage_duckdb,tpcds,100.0,97,98.59,40.07,7.1,10.63,12.43
mounted_storage_duckdb,tpcds,100.0,98,14.63,7.29,3.73,2.23,3.84
mounted_storage_duckdb,tpcds,100.0,99,9.33,4.79,2.47,1.77,5.54
