d_date_sk,d_year,d_dow,d_moy,d_dom,d_qoy,d_holiday,d_weekend
2423183,1922,1,5,8,2,"N","N"
2423190,1922,1,5,15,2,"N","N"
2423197,1922,1,5,22,2,"N","N"
2423204,1922,1,5,29,2,"N","N"
2423547,1923,1,5,7,2,"N","N"
2423554,1923,1,5,14,2,"N","N"
2423561,1923,1,5,21,2,"N","N"
2423568,1923,1,5,28,2,"N","N"
2423911,1924,1,5,5,2,"N","N"
2423918,1924,1,5,12,2,"N","N"
2423925,1924,1,5,19,2,"N","N"
2423932,1924,1,5,26,2,"N","N"
2424275,1925,1,5,4,2,"N","N"
2424282,1925,1,5,11,2,"N","N"
2424289,1925,1,5,18,2,"N","N"
2424296,1925,1,5,25,2,"N","N"
2424639,1926,1,5,3,2,"N","N"
2424646,1926,1,5,10,2,"N","N"
2424653,1926,1,5,17,2,"N","N"
2424660,1926,1,5,24,2,"N","N"
2424667,1926,1,5,31,2,"N","N"
2425003,1927,1,5,2,2,"N","N"
2425010,1927,1,5,9,2,"N","N"
2425017,1927,1,5,16,2,"N","N"
2425024,1927,1,5,23,2,"N","N"
2425031,1927,1,5,30,2,"N","N"
2425374,1928,1,5,7,2,"N","N"
2425381,1928,1,5,14,2,"N","N"
2425388,1928,1,5,21,2,"N","N"
2425395,1928,1,5,28,2,"N","N"
2425738,1929,1,5,6,2,"N","N"
2425745,1929,1,5,13,2,"N","N"
2425752,1929,1,5,20,2,"N","N"
2425759,1929,1,5,27,2,"N","N"
2426102,1930,1,5,5,2,"N","N"
2426109,1930,1,5,12,2,"N","N"
2426116,1930,1,5,19,2,"N","N"
2426123,1930,1,5,26,2,"N","N"
2426466,1931,1,5,4,2,"N","N"
2426473,1931,1,5,11,2,"N","N"
2426480,1931,1,5,18,2,"N","N"
2426487,1931,1,5,25,2,"N","N"
2426830,1932,1,5,2,2,"N","N"
2426837,1932,1,5,9,2,"N","N"
2426844,1932,1,5,16,2,"N","N"
2426851,1932,1,5,23,2,"N","N"
2426858,1932,1,5,30,2,"N","N"
2427194,1933,1,5,1,2,"N","N"
2427201,1933,1,5,8,2,"N","N"
2427208,1933,1,5,15,2,"N","N"
2427215,1933,1,5,22,2,"N","N"
2427222,1933,1,5,29,2,"N","N"
2427565,1934,1,5,7,2,"N","N"
2427572,1934,1,5,14,2,"N","N"
2427579,1934,1,5,21,2,"N","N"
2427586,1934,1,5,28,2,"N","N"
2427929,1935,1,5,6,2,"N","N"
2427936,1935,1,5,13,2,"N","N"
2427943,1935,1,5,20,2,"N","N"
2427950,1935,1,5,27,2,"N","N"
2428293,1936,1,5,4,2,"N","N"
2428300,1936,1,5,11,2,"N","N"
2428307,1936,1,5,18,2,"N","N"
2428314,1936,1,5,25,2,"N","N"
2428657,1937,1,5,3,2,"N","N"
2428664,1937,1,5,10,2,"N","N"
2428671,1937,1,5,17,2,"N","N"
2428678,1937,1,5,24,2,"N","N"
2428685,1937,1,5,31,2,"N","N"
2429021,1938,1,5,2,2,"N","N"
2429028,1938,1,5,9,2,"N","N"
2429035,1938,1,5,16,2,"N","N"
2429042,1938,1,5,23,2,"N","N"
2429049,1938,1,5,30,2,"N","N"
2429385,1939,1,5,1,2,"N","N"
2429392,1939,1,5,8,2,"N","N"
2429399,1939,1,5,15,2,"N","N"
2429406,1939,1,5,22,2,"N","N"
2429413,1939,1,5,29,2,"N","N"
2429756,1940,1,5,6,2,"N","N"
2429763,1940,1,5,13,2,"N","N"
2429770,1940,1,5,20,2,"N","N"
2429777,1940,1,5,27,2,"N","N"
2430120,1941,1,5,5,2,"N","N"
2430127,1941,1,5,12,2,"N","N"
2430134,1941,1,5,19,2,"N","N"
2430141,1941,1,5,26,2,"N","N"
2430484,1942,1,5,4,2,"N","N"
2430491,1942,1,5,11,2,"N","N"
2430498,1942,1,5,18,2,"N","N"
2430505,1942,1,5,25,2,"N","N"
2430848,1943,1,5,3,2,"N","N"
2430855,1943,1,5,10,2,"N","N"
2430862,1943,1,5,17,2,"N","N"
2430869,1943,1,5,24,2,"N","N"
2430876,1943,1,5,31,2,"N","N"
2431212,1944,1,5,1,2,"N","N"
2431219,1944,1,5,8,2,"N","N"
2431226,1944,1,5,15,2,"N","N"
2431233,1944,1,5,22,2,"N","N"
2431240,1944,1,5,29,2,"N","N"
2431583,1945,1,5,7,2,"N","N"
2431590,1945,1,5,14,2,"N","N"
2431597,1945,1,5,21,2,"N","N"
2431604,1945,1,5,28,2,"N","N"
2431947,1946,1,5,6,2,"N","N"
2431954,1946,1,5,13,2,"N","N"
2431961,1946,1,5,20,2,"N","N"
2431968,1946,1,5,27,2,"N","N"
2432311,1947,1,5,5,2,"N","N"
2432318,1947,1,5,12,2,"N","N"
2432325,1947,1,5,19,2,"N","N"
2432332,1947,1,5,26,2,"N","N"
2432675,1948,1,5,3,2,"N","N"
2432682,1948,1,5,10,2,"N","N"
2432689,1948,1,5,17,2,"N","N"
2432696,1948,1,5,24,2,"N","N"
2432703,1948,1,5,31,2,"N","N"
2433039,1949,1,5,2,2,"N","N"
2433046,1949,1,5,9,2,"N","N"
2433053,1949,1,5,16,2,"N","N"
2433060,1949,1,5,23,2,"N","N"
2433067,1949,1,5,30,2,"N","N"
2433403,1950,1,5,1,2,"N","N"
2433410,1950,1,5,8,2,"N","N"
2433417,1950,1,5,15,2,"N","N"
2433424,1950,1,5,22,2,"N","N"
2433431,1950,1,5,29,2,"N","N"
2433774,1951,1,5,7,2,"N","N"
2433781,1951,1,5,14,2,"N","N"
2433788,1951,1,5,21,2,"N","N"
2433795,1951,1,5,28,2,"N","N"
2434138,1952,1,5,5,2,"N","N"
2434145,1952,1,5,12,2,"N","N"
2434152,1952,1,5,19,2,"N","N"
2434159,1952,1,5,26,2,"N","N"
2434502,1953,1,5,4,2,"N","N"
2434509,1953,1,5,11,2,"N","N"
2434516,1953,1,5,18,2,"N","N"
2434523,1953,1,5,25,2,"N","N"
2434866,1954,1,5,3,2,"N","N"
2434873,1954,1,5,10,2,"N","N"
2434880,1954,1,5,17,2,"N","N"
2434887,1954,1,5,24,2,"N","N"
2434894,1954,1,5,31,2,"N","N"
2435230,1955,1,5,2,2,"N","N"
2435237,1955,1,5,9,2,"N","N"
2435244,1955,1,5,16,2,"N","N"
2435251,1955,1,5,23,2,"N","N"
2435258,1955,1,5,30,2,"N","N"
2435601,1956,1,5,7,2,"N","N"
2435608,1956,1,5,14,2,"N","N"
2435615,1956,1,5,21,2,"N","N"
2435622,1956,1,5,28,2,"N","N"
2435965,1957,1,5,6,2,"N","N"
2435972,1957,1,5,13,2,"N","N"
2435979,1957,1,5,20,2,"N","N"
2435986,1957,1,5,27,2,"N","N"
2436329,1958,1,5,5,2,"N","N"
2436336,1958,1,5,12,2,"N","N"
2436343,1958,1,5,19,2,"N","N"
2436350,1958,1,5,26,2,"N","N"
2436693,1959,1,5,4,2,"N","N"
2436700,1959,1,5,11,2,"N","N"
2436707,1959,1,5,18,2,"N","N"
2436714,1959,1,5,25,2,"N","N"
2437057,1960,1,5,2,2,"N","N"
2437064,1960,1,5,9,2,"N","N"
2437071,1960,1,5,16,2,"N","N"
2437078,1960,1,5,23,2,"N","N"
2437085,1960,1,5,30,2,"N","N"
2437421,1961,1,5,1,2,"N","N"
2437428,1961,1,5,8,2,"N","N"
2437435,1961,1,5,15,2,"N","N"
2437442,1961,1,5,22,2,"N","N"
2437449,1961,1,5,29,2,"N","N"
2437792,1962,1,5,7,2,"N","N"
2437799,1962,1,5,14,2,"N","N"
2437806,1962,1,5,21,2,"N","N"
2437813,1962,1,5,28,2,"N","N"
2438156,1963,1,5,6,2,"N","N"
2438163,1963,1,5,13,2,"N","N"
2438170,1963,1,5,20,2,"N","N"
2438177,1963,1,5,27,2,"N","N"
2438520,1964,1,5,4,2,"N","N"
2438527,1964,1,5,11,2,"N","N"
2438534,1964,1,5,18,2,"N","N"
2438541,1964,1,5,25,2,"N","N"
2438884,1965,1,5,3,2,"N","N"
2438891,1965,1,5,10,2,"N","N"
2438898,1965,1,5,17,2,"N","N"
2438905,1965,1,5,24,2,"N","N"
2438912,1965,1,5,31,2,"N","N"
2439248,1966,1,5,2,2,"N","N"
2439255,1966,1,5,9,2,"N","N"
2439262,1966,1,5,16,2,"N","N"
2439269,1966,1,5,23,2,"N","N"
2439276,1966,1,5,30,2,"N","N"
2439612,1967,1,5,1,2,"N","N"
2439619,1967,1,5,8,2,"N","N"
2439626,1967,1,5,15,2,"N","N"
2439633,1967,1,5,22,2,"N","N"
2439640,1967,1,5,29,2,"N","N"
2439983,1968,1,5,6,2,"N","N"
2439990,1968,1,5,13,2,"N","N"
2439997,1968,1,5,20,2,"N","N"
2440004,1968,1,5,27,2,"N","N"
2440347,1969,1,5,5,2,"N","N"
2440354,1969,1,5,12,2,"N","N"
2440361,1969,1,5,19,2,"N","N"
2440368,1969,1,5,26,2,"N","N"
2440711,1970,1,5,4,2,"N","N"
2440718,1970,1,5,11,2,"N","N"
2440725,1970,1,5,18,2,"N","N"
2440732,1970,1,5,25,2,"N","N"
2441075,1971,1,5,3,2,"N","N"
2441082,1971,1,5,10,2,"N","N"
2441089,1971,1,5,17,2,"N","N"
2441096,1971,1,5,24,2,"N","N"
2441103,1971,1,5,31,2,"N","N"
2441439,1972,1,5,1,2,"N","N"
2441446,1972,1,5,8,2,"N","N"
2441453,1972,1,5,15,2,"N","N"
2441460,1972,1,5,22,2,"N","N"
2441467,1972,1,5,29,2,"N","N"
2441810,1973,1,5,7,2,"N","N"
2441817,1973,1,5,14,2,"N","N"
2441824,1973,1,5,21,2,"N","N"
2441831,1973,1,5,28,2,"N","N"
2442174,1974,1,5,6,2,"N","N"
2442181,1974,1,5,13,2,"N","N"
2442188,1974,1,5,20,2,"N","N"
2442195,1974,1,5,27,2,"N","N"
2442538,1975,1,5,5,2,"N","N"
2442545,1975,1,5,12,2,"N","N"
2442552,1975,1,5,19,2,"N","N"
2442559,1975,1,5,26,2,"N","N"
2442902,1976,1,5,3,2,"N","N"
2442909,1976,1,5,10,2,"N","N"
2442916,1976,1,5,17,2,"N","N"
2442923,1976,1,5,24,2,"N","N"
2442930,1976,1,5,31,2,"N","N"
2443266,1977,1,5,2,2,"N","N"
2443273,1977,1,5,9,2,"N","N"
2443280,1977,1,5,16,2,"N","N"
2443287,1977,1,5,23,2,"N","N"
2443294,1977,1,5,30,2,"N","N"
2443630,1978,1,5,1,2,"N","N"
2443637,1978,1,5,8,2,"N","N"
2443644,1978,1,5,15,2,"N","N"
2443651,1978,1,5,22,2,"N","N"
2443658,1978,1,5,29,2,"N","N"
2444001,1979,1,5,7,2,"N","N"
2444008,1979,1,5,14,2,"N","N"
2444015,1979,1,5,21,2,"N","N"
2444022,1979,1,5,28,2,"N","N"
2444365,1980,1,5,5,2,"N","N"
2444372,1980,1,5,12,2,"N","N"
2444379,1980,1,5,19,2,"N","N"
2444386,1980,1,5,26,2,"N","N"
2444729,1981,1,5,4,2,"N","N"
2444736,1981,1,5,11,2,"N","N"
2444743,1981,1,5,18,2,"N","N"
2444750,1981,1,5,25,2,"N","N"
2445093,1982,1,5,3,2,"N","N"
2445100,1982,1,5,10,2,"N","N"
2445107,1982,1,5,17,2,"N","N"
2445114,1982,1,5,24,2,"N","N"
2445121,1982,1,5,31,2,"N","N"
2445457,1983,1,5,2,2,"N","N"
2445464,1983,1,5,9,2,"N","N"
2445471,1983,1,5,16,2,"N","N"
2445478,1983,1,5,23,2,"N","N"
2445485,1983,1,5,30,2,"N","N"
2445828,1984,1,5,7,2,"N","N"
2445835,1984,1,5,14,2,"N","N"
2445842,1984,1,5,21,2,"N","N"
2445849,1984,1,5,28,2,"N","N"
2446192,1985,1,5,6,2,"N","N"
2446199,1985,1,5,13,2,"N","N"
2446206,1985,1,5,20,2,"N","N"
2446213,1985,1,5,27,2,"N","N"
2446556,1986,1,5,5,2,"N","N"
2446563,1986,1,5,12,2,"N","N"
2446570,1986,1,5,19,2,"N","N"
2446577,1986,1,5,26,2,"N","N"
2446920,1987,1,5,4,2,"N","N"
2446927,1987,1,5,11,2,"N","N"
2446934,1987,1,5,18,2,"N","N"
2446941,1987,1,5,25,2,"N","N"
2447284,1988,1,5,2,2,"N","N"
2447291,1988,1,5,9,2,"N","N"
2447298,1988,1,5,16,2,"N","N"
2447305,1988,1,5,23,2,"N","N"
2447312,1988,1,5,30,2,"N","N"
2447648,1989,1,5,1,2,"N","N"
2447655,1989,1,5,8,2,"N","N"
2447662,1989,1,5,15,2,"N","N"
2447669,1989,1,5,22,2,"N","N"
2447676,1989,1,5,29,2,"N","N"
2448019,1990,1,5,7,2,"N","N"
2448026,1990,1,5,14,2,"N","N"
2448033,1990,1,5,21,2,"N","N"
2448040,1990,1,5,28,2,"N","N"
2448383,1991,1,5,6,2,"N","N"
2448390,1991,1,5,13,2,"N","N"
2448397,1991,1,5,20,2,"N","N"
2448404,1991,1,5,27,2,"N","N"
2448747,1992,1,5,4,2,"N","N"
2448754,1992,1,5,11,2,"N","N"
2448761,1992,1,5,18,2,"N","N"
2448768,1992,1,5,25,2,"N","N"
2449111,1993,1,5,3,2,"N","N"
2449118,1993,1,5,10,2,"N","N"
2449125,1993,1,5,17,2,"N","N"
2449132,1993,1,5,24,2,"N","N"
2449139,1993,1,5,31,2,"N","N"
2449475,1994,1,5,2,2,"N","N"
2449482,1994,1,5,9,2,"N","N"
2449489,1994,1,5,16,2,"N","N"
2449496,1994,1,5,23,2,"N","N"
2449503,1994,1,5,30,2,"N","N"
2449839,1995,1,5,1,2,"N","N"
2449846,1995,1,5,8,2,"N","N"
2449853,1995,1,5,15,2,"N","N"
2449860,1995,1,5,22,2,"N","N"
2449867,1995,1,5,29,2,"N","N"
2450210,1996,1,5,6,2,"N","N"
2450217,1996,1,5,13,2,"N","N"
2450224,1996,1,5,20,2,"N","N"
2450231,1996,1,5,27,2,"N","N"
2450574,1997,1,5,5,2,"N","N"
2450581,1997,1,5,12,2,"N","N"
2450588,1997,1,5,19,2,"N","N"
2450595,1997,1,5,26,2,"N","N"
2450938,1998,1,5,4,2,"N","N"
2450945,1998,1,5,11,2,"N","N"
2450952,1998,1,5,18,2,"N","N"
2450959,1998,1,5,25,2,"N","N"
2451302,1999,1,5,3,2,"N","N"
2451309,1999,1,5,10,2,"N","N"
2451316,1999,1,5,17,2,"N","N"
2451323,1999,1,5,24,2,"N","N"
2451330,1999,1,5,31,2,"N","N"
2451666,2000,1,5,1,2,"N","N"
2451673,2000,1,5,8,2,"N","N"
2451680,2000,1,5,15,2,"N","N"
2451687,2000,1,5,22,2,"N","N"
2451694,2000,1,5,29,2,"N","N"
2452037,2001,1,5,7,2,"N","N"
2452044,2001,1,5,14,2,"N","N"
2452051,2001,1,5,21,2,"N","N"
2452058,2001,1,5,28,2,"N","N"
2452401,2002,1,5,6,2,"N","N"
2452408,2002,1,5,13,2,"N","N"
2452415,2002,1,5,20,2,"N","N"
2452422,2002,1,5,27,2,"N","N"
2452765,2003,1,5,5,2,"N","N"
2452772,2003,1,5,12,2,"N","N"
2452779,2003,1,5,19,2,"N","N"
2452786,2003,1,5,26,2,"N","N"
2453129,2004,1,5,3,2,"N","N"
2453136,2004,1,5,10,2,"N","N"
2453143,2004,1,5,17,2,"N","N"
2453150,2004,1,5,24,2,"N","N"
2453157,2004,1,5,31,2,"N","N"
2453493,2005,1,5,2,2,"N","N"
2453500,2005,1,5,9,2,"N","N"
2453507,2005,1,5,16,2,"N","N"
2453514,2005,1,5,23,2,"N","N"
2453521,2005,1,5,30,2,"N","N"
2453857,2006,1,5,1,2,"N","N"
2453864,2006,1,5,8,2,"N","N"
2453871,2006,1,5,15,2,"N","N"
2453878,2006,1,5,22,2,"N","N"
2453885,2006,1,5,29,2,"N","N"
2454228,2007,1,5,7,2,"N","N"
2454235,2007,1,5,14,2,"N","N"
2454242,2007,1,5,21,2,"N","N"
2454249,2007,1,5,28,2,"N","N"
2454592,2008,1,5,5,2,"N","N"
2454599,2008,1,5,12,2,"N","N"
2454606,2008,1,5,19,2,"N","N"
2454613,2008,1,5,26,2,"N","N"
2454956,2009,1,5,4,2,"N","N"
2454963,2009,1,5,11,2,"N","N"
2454970,2009,1,5,18,2,"N","N"
2454977,2009,1,5,25,2,"N","N"
2455320,2010,1,5,3,2,"N","N"
2455327,2010,1,5,10,2,"N","N"
2455334,2010,1,5,17,2,"N","N"
2455341,2010,1,5,24,2,"N","N"
2455348,2010,1,5,31,2,"N","N"
2455684,2011,1,5,2,2,"N","N"
2455691,2011,1,5,9,2,"N","N"
2455698,2011,1,5,16,2,"N","N"
2455705,2011,1,5,23,2,"N","N"
2455712,2011,1,5,30,2,"N","N"
2456055,2012,1,5,7,2,"N","N"
2456062,2012,1,5,14,2,"N","N"
2456069,2012,1,5,21,2,"N","N"
2456076,2012,1,5,28,2,"N","N"
2456419,2013,1,5,6,2,"N","N"
2456426,2013,1,5,13,2,"N","N"
2456433,2013,1,5,20,2,"N","N"
2456440,2013,1,5,27,2,"N","N"
2456783,2014,1,5,5,2,"N","N"
2456790,2014,1,5,12,2,"N","N"
2456797,2014,1,5,19,2,"N","N"
2456804,2014,1,5,26,2,"N","N"
2457147,2015,1,5,4,2,"N","N"
2457154,2015,1,5,11,2,"N","N"
2457161,2015,1,5,18,2,"N","N"
2457168,2015,1,5,25,2,"N","N"
2457511,2016,1,5,2,2,"N","N"
2457518,2016,1,5,9,2,"N","N"
2457525,2016,1,5,16,2,"N","N"
2457532,2016,1,5,23,2,"N","N"
2457539,2016,1,5,30,2,"N","N"
2457875,2017,1,5,1,2,"N","N"
2457882,2017,1,5,8,2,"N","N"
2457889,2017,1,5,15,2,"N","N"
2457896,2017,1,5,22,2,"N","N"
2457903,2017,1,5,29,2,"N","N"
2458246,2018,1,5,7,2,"N","N"
2458253,2018,1,5,14,2,"N","N"
2458260,2018,1,5,21,2,"N","N"
2458267,2018,1,5,28,2,"N","N"
2458610,2019,1,5,6,2,"N","N"
2458617,2019,1,5,13,2,"N","N"
2458624,2019,1,5,20,2,"N","N"
2458631,2019,1,5,27,2,"N","N"
2458974,2020,1,5,4,2,"N","N"
2458981,2020,1,5,11,2,"N","N"
2458988,2020,1,5,18,2,"N","N"
2458995,2020,1,5,25,2,"N","N"
2459338,2021,1,5,3,2,"N","N"
2459345,2021,1,5,10,2,"N","N"
2459352,2021,1,5,17,2,"N","N"
2459359,2021,1,5,24,2,"N","N"
2459366,2021,1,5,31,2,"N","N"
2459702,2022,1,5,2,2,"N","N"
2459709,2022,1,5,9,2,"N","N"
2459716,2022,1,5,16,2,"N","N"
2459723,2022,1,5,23,2,"N","N"
2459730,2022,1,5,30,2,"N","N"
2460066,2023,1,5,1,2,"N","N"
2460073,2023,1,5,8,2,"N","N"
2460080,2023,1,5,15,2,"N","N"
2460087,2023,1,5,22,2,"N","N"
2460094,2023,1,5,29,2,"N","N"
2460437,2024,1,5,6,2,"N","N"
2460444,2024,1,5,13,2,"N","N"
2460451,2024,1,5,20,2,"N","N"
2460458,2024,1,5,27,2,"N","N"
2460801,2025,1,5,5,2,"N","N"
2460808,2025,1,5,12,2,"N","N"
2460815,2025,1,5,19,2,"N","N"
2460822,2025,1,5,26,2,"N","N"
2461165,2026,1,5,4,2,"N","N"
2461172,2026,1,5,11,2,"N","N"
2461179,2026,1,5,18,2,"N","N"
2461186,2026,1,5,25,2,"N","N"
2461529,2027,1,5,3,2,"N","N"
2461536,2027,1,5,10,2,"N","N"
2461543,2027,1,5,17,2,"N","N"
2461550,2027,1,5,24,2,"N","N"
2461557,2027,1,5,31,2,"N","N"
2461893,2028,1,5,1,2,"N","N"
2461900,2028,1,5,8,2,"N","N"
2461907,2028,1,5,15,2,"N","N"
2461914,2028,1,5,22,2,"N","N"
2461921,2028,1,5,29,2,"N","N"
2462264,2029,1,5,7,2,"N","N"
2462271,2029,1,5,14,2,"N","N"
2462278,2029,1,5,21,2,"N","N"
2462285,2029,1,5,28,2,"N","N"
2462628,2030,1,5,6,2,"N","N"
2462635,2030,1,5,13,2,"N","N"
2462642,2030,1,5,20,2,"N","N"
2462649,2030,1,5,27,2,"N","N"
2462992,2031,1,5,5,2,"N","N"
2462999,2031,1,5,12,2,"N","N"
2463006,2031,1,5,19,2,"N","N"
2463013,2031,1,5,26,2,"N","N"
2463356,2032,1,5,3,2,"N","N"
2463363,2032,1,5,10,2,"N","N"
2463370,2032,1,5,17,2,"N","N"
2463377,2032,1,5,24,2,"N","N"
2463384,2032,1,5,31,2,"N","N"
2463720,2033,1,5,2,2,"N","N"
2463727,2033,1,5,9,2,"N","N"
2463734,2033,1,5,16,2,"N","N"
2463741,2033,1,5,23,2,"N","N"
2463748,2033,1,5,30,2,"N","N"
2464084,2034,1,5,1,2,"N","N"
2464091,2034,1,5,8,2,"N","N"
2464098,2034,1,5,15,2,"N","N"
2464105,2034,1,5,22,2,"N","N"
2464112,2034,1,5,29,2,"N","N"
2464455,2035,1,5,7,2,"N","N"
2464462,2035,1,5,14,2,"N","N"
2464469,2035,1,5,21,2,"N","N"
2464476,2035,1,5,28,2,"N","N"
2464819,2036,1,5,5,2,"N","N"
2464826,2036,1,5,12,2,"N","N"
2464833,2036,1,5,19,2,"N","N"
2464840,2036,1,5,26,2,"N","N"
2465183,2037,1,5,4,2,"N","N"
2465190,2037,1,5,11,2,"N","N"
2465197,2037,1,5,18,2,"N","N"
2465204,2037,1,5,25,2,"N","N"
2465547,2038,1,5,3,2,"N","N"
2465554,2038,1,5,10,2,"N","N"
2465561,2038,1,5,17,2,"N","N"
2465568,2038,1,5,24,2,"N","N"
2465575,2038,1,5,31,2,"N","N"
2465911,2039,1,5,2,2,"N","N"
2465918,2039,1,5,9,2,"N","N"
2465925,2039,1,5,16,2,"N","N"
2465932,2039,1,5,23,2,"N","N"
2465939,2039,1,5,30,2,"N","N"
2466282,2040,1,5,7,2,"N","N"
2466289,2040,1,5,14,2,"N","N"
2466296,2040,1,5,21,2,"N","N"
2466303,2040,1,5,28,2,"N","N"
2466646,2041,1,5,6,2,"N","N"
2466653,2041,1,5,13,2,"N","N"
2466660,2041,1,5,20,2,"N","N"
2466667,2041,1,5,27,2,"N","N"
2467010,2042,1,5,5,2,"N","N"
2467017,2042,1,5,12,2,"N","N"
2467024,2042,1,5,19,2,"N","N"
2467031,2042,1,5,26,2,"N","N"
2467374,2043,1,5,4,2,"N","N"
2467381,2043,1,5,11,2,"N","N"
2467388,2043,1,5,18,2,"N","N"
2467395,2043,1,5,25,2,"N","N"
2467738,2044,1,5,2,2,"N","N"
2467745,2044,1,5,9,2,"N","N"
2467752,2044,1,5,16,2,"N","N"
2467759,2044,1,5,23,2,"N","N"
2467766,2044,1,5,30,2,"N","N"
2468102,2045,1,5,1,2,"N","N"
2468109,2045,1,5,8,2,"N","N"
2468116,2045,1,5,15,2,"N","N"
2468123,2045,1,5,22,2,"N","N"
2468130,2045,1,5,29,2,"N","N"
2468473,2046,1,5,7,2,"N","N"
2468480,2046,1,5,14,2,"N","N"
2468487,2046,1,5,21,2,"N","N"
2468494,2046,1,5,28,2,"N","N"
2468837,2047,1,5,6,2,"N","N"
2468844,2047,1,5,13,2,"N","N"
2468851,2047,1,5,20,2,"N","N"
2468858,2047,1,5,27,2,"N","N"
2469201,2048,1,5,4,2,"N","N"
2469208,2048,1,5,11,2,"N","N"
2469215,2048,1,5,18,2,"N","N"
2469222,2048,1,5,25,2,"N","N"
2469565,2049,1,5,3,2,"N","N"
2469572,2049,1,5,10,2,"N","N"
2469579,2049,1,5,17,2,"N","N"
2469586,2049,1,5,24,2,"N","N"
