sr_returned_date_sk,sr_item_sk,sr_customer_sk,sr_store_sk,sr_return_quantity,sr_return_amt
2451389,637,7235,1,,
2451186,98,2762,1,,
2452182,1519,4935,1,70,
2451177,961,1697,1,35,
2452723,231,176,1,,
2451987,1625,5235,1,3,
2452280,1695,9487,1,,
2452062,267,2173,1,68,
2452020,1781,8477,1,,
2451839,599,1860,1,50,
2451169,1646,3805,1,,
2452338,421,5076,1,40,
2451226,1142,5381,1,55,
2452119,907,4333,1,,
2452404,1003,6383,1,,
2452335,1125,2,1,,
2452672,804,2280,1,44,
2451420,1735,2400,1,,
2451529,1532,1238,1,,
2452562,1437,1269,1,40,
2451568,836,3742,1,23,
2451317,1588,7556,1,,
2451303,596,9881,1,63,
2451769,211,1500,1,,
2452165,641,7856,1,86,
2451355,538,1268,1,,
2451298,430,2979,1,6,
2452263,1125,3122,1,23,
2451096,1088,7607,1,8,
2452341,601,680,1,33,
2451854,26,4826,1,,
2451955,1277,6015,1,,
2451288,79,3529,1,14,
2451831,686,4757,1,,
2451038,278,8478,1,28,
2451859,1379,292,1,,
2451850,1067,2873,1,7,
2451798,848,8424,1,,
2451165,1243,936,1,,
2452390,912,8305,1,,
2451650,1792,3531,1,,
2452441,1613,3694,1,26,
2451854,1610,9454,1,,
2451954,631,8813,1,3,
2452407,1505,7696,1,,
2451588,1075,7543,1,16,
2451038,787,3219,1,4,
2451522,620,3483,1,10,
2452382,555,6743,1,9,
2451292,1261,6976,1,41,
2452120,151,6247,1,19,
2452243,147,748,1,,
2450845,902,7616,1,63,
2451550,56,9074,1,,
2452101,1381,73,1,,
2451598,1286,7864,1,1,
2452023,1667,2168,1,73,
2451562,580,7420,1,41,
2451002,1279,7774,1,1,
2451652,907,9058,1,67,
2451802,386,9760,1,,
2451064,661,6967,1,,
2451254,1069,4058,1,60,
2451915,859,5245,1,39,
2451974,777,9111,1,41,
2451526,649,921,1,20,
2452163,1797,8281,1,,
2451519,1525,4882,1,,
2451513,172,3930,1,3,
2451851,1463,7996,1,13,
2451690,602,1662,1,,
2452748,594,6657,1,26,
2451402,1147,8743,1,15,
2452565,120,1777,1,,
2451822,1745,2389,1,1,
2452464,771,4424,1,,
2452507,1242,3100,1,34,
2451430,355,6524,1,,
2451322,934,4628,1,91,
2452697,1146,8256,1,19,
2451007,938,203,1,,
2451668,184,9071,1,,
2451524,70,5274,1,,
2452802,1453,2974,1,5,
2451986,1622,3575,1,,
2452311,1787,5853,1,6,
2452024,205,5473,1,43,
2451134,1018,6289,1,,
2451949,1,3287,1,13,
2450853,308,9403,1,,
2452663,1347,1361,1,,
2451111,148,1205,1,,
2451946,347,8989,1,,
2452696,1158,992,1,19,
2452318,1117,9644,1,11,
2451063,1162,970,1,37,
2452589,1401,2210,1,,
2451611,578,3126,1,,
2451333,1393,6774,1,1,
2452249,1263,7897,1,,
2452264,415,3598,1,,
2451139,949,7190,1,55,
2452213,567,286,1,12,
2452441,37,4732,1,,
2451173,40,6150,1,4,
2451415,1534,7640,1,,
2451221,1207,1780,1,,
2450987,1759,5067,1,11,
2451195,1016,1289,1,,
2452558,21,8214,1,18,
2451512,812,2335,1,20,
2452557,1329,6748,1,1,
2452246,563,6777,1,,
2452694,693,4416,1,,
2452527,534,7566,1,,
2452568,1623,1877,1,,
2451234,1111,2567,1,56,
2452394,1381,7049,1,,
2451415,884,9842,1,,
,1678,4691,1,3,
,1796,9208,1,35,
,629,3923,1,41,
,98,3595,1,18,
,932,1811,1,95,
,760,1548,1,13,
,705,6618,1,12,
,800,1444,1,82,
,1789,126,1,12,
,396,6471,1,1,
,377,2681,1,38,
,1538,3070,1,71,
,398,8028,1,9,
,355,8281,1,63,
,493,4170,1,56,
,949,533,1,2,
,1622,7227,1,1,
,1653,8138,1,13,
,1135,6141,1,6,
,1516,9053,1,19,
,1244,4275,1,55,
,1778,6547,1,18,
,739,1014,1,12,
,436,396,1,2,
,1625,7086,1,10,
,1637,1209,1,51,
,727,8373,1,15,
,641,712,1,7,
,780,2224,1,39,
,1742,2195,1,51,
,337,9467,1,53,
,937,1742,1,51,
,1152,1915,1,37,
,413,1917,1,29,
,1541,618,1,39,
,735,1429,1,10,
,1447,5159,1,22,
,901,3360,1,54,
,1479,5934,1,30,
,1601,733,1,75,
,363,2459,1,50,
,1302,5182,1,10,
,1133,7285,1,41,
,193,5639,1,5,
,1453,7837,1,7,
,88,9012,1,22,
,54,6145,1,2,
,1561,2483,1,30,
,437,1025,1,12,
,670,3540,1,1,
,962,3469,1,15,
,1601,9603,1,5,
,947,897,1,39,
,1111,4664,1,44,
,1153,4132,1,8,
,385,6942,1,62,
,609,6006,1,43,
,1471,5448,1,30,
,1286,6088,1,40,
,1758,2338,1,14,
,597,7598,1,2,
,1302,3581,1,5,
,1196,6747,1,22,
,1516,1720,1,1,
,1534,3182,1,53,
,307,3157,1,,
,1322,2716,1,,
,1051,6599,1,,
,166,2740,1,,
,1371,6147,1,,
,1291,1017,1,,
,1540,4561,1,,
,1769,885,1,,
,1201,7540,1,,
,1683,839,1,,
,1646,2799,1,,
,1565,9482,1,,
,1605,1918,1,,
,137,2679,1,,
,397,5254,1,,
,614,1489,1,,
,1664,5868,1,,
,766,4040,1,,
,1723,2415,1,,
,650,2565,1,,
,542,3681,1,,
,1334,6916,1,,
,1784,8013,1,,
,470,9322,1,,
,934,8540,1,,
,1443,562,1,,
,1733,3498,1,,
,1573,2209,1,,
,1765,8121,1,,
,1473,5791,1,,
,751,8343,1,,
,932,8477,1,,
,32,857,1,,
,200,3770,1,,
,1279,8819,1,,
,542,961,1,,
,936,1779,1,,
,1725,6725,1,,
,854,3260,1,,
,679,7430,1,,
,1000,5942,1,,
,853,7997,1,,
,1796,2067,1,,
,1796,9647,1,,
,340,3604,1,,
,1049,5027,1,,
,987,2597,1,,
,271,8344,1,,
,931,45,1,,
,1725,7296,1,,
,419,2859,1,,
,1348,4189,1,,
,1237,1330,1,,
,397,1471,1,,
,697,2858,1,,
,655,6446,1,,
,865,4318,1,,
,1540,7822,1,,
,1765,3711,1,,
,35,9457,1,,
,1450,6679,1,,
,928,7055,1,,
,1243,2488,1,,
,15,9279,1,,
,697,5162,1,,
,1099,2014,1,,
,1267,8100,1,,
,641,3500,1,,
,1733,5147,1,,
,1062,4799,1,,
,1021,8585,1,,
2452328,557,1907,1,93,1833.96
2451971,1141,7327,1,85,337.45
2452118,49,5759,1,88,909.92
2452114,1711,1993,1,90,984.6
2452587,1231,8512,1,92,385.48
2452089,1765,8380,1,86,4814.28
2452143,1013,1484,1,87,1599.06
2451211,1219,3192,1,86,5912.5
2450965,320,8965,1,80,2355.2
2451319,913,1665,1,80,5410.4
2451436,32,1665,1,95,1640.65
2452079,1309,973,1,87,2967.57
2451994,1040,3251,1,89,959.42
2452156,673,9152,1,81,610.74
2452610,1773,4134,1,89,6861.01
2452314,1223,6094,1,90,2305.8
2451508,1651,7107,1,92,525.32
2452011,1616,3191,1,93,5865.51
2451637,1612,2749,1,80,709.6
2452133,1477,5214,1,95,33.25
2451873,1741,2345,1,86,4292.26
2452597,13,6873,1,83,9507.65
2452209,383,9591,1,87,11514.45
2451685,718,3895,1,97,3205.85
2452348,585,3235,1,82,1385.8
2451100,1084,9134,1,97,457.84
2451111,458,3973,1,97,7578.61
2452449,180,7261,1,81,1628.91
2452348,971,2681,1,91,3628.17
2452145,1485,3648,1,81,6306.66
2452740,156,3861,1,81,5001.75
2451174,656,4799,1,80,668
2451653,176,7727,1,87,1687.8
2451542,452,7727,1,92,129.72
2452469,397,4579,1,91,1238.51
2451881,221,524,1,80,2523.2
2451984,823,2388,1,86,49.02
2452570,1093,5327,1,87,295.8
2451176,943,9047,1,82,1931.92
2452075,1719,2676,1,82,10231.14
2451084,760,6419,1,85,2391.05
2452678,654,1843,1,90,2982.6
2451806,715,5672,1,93,0
2452464,768,3914,1,91,4765.67
2451230,14,2419,1,86,387.86
2451258,1048,2472,1,94,506.66
2452671,1356,7106,1,81,4720.68
2452630,1320,5327,1,90,25.2
2451627,962,101,1,97,5184.65
2451597,121,6326,1,88,1287.44
2452211,3,4139,1,92,274.16
2451908,161,9738,1,95,653.6
2451837,1753,2391,1,91,5852.21
2451676,167,5305,1,81,974.43
2451524,1498,4833,1,80,4572.8
2452545,1201,9116,1,89,623
2451364,296,9839,1,99,2065.14
2452716,636,1635,1,93,2745.36
2452157,675,9633,1,82,1688.38
2452408,1254,6420,1,80,1060.8
2452531,601,7223,1,81,3952.8
2451086,511,2590,1,95,816.05
2452667,1074,115,1,83,2214.44
2451774,487,6601,1,83,941.22
2452086,525,4256,1,89,475.26
2451587,595,5684,1,86,7851.8
2451171,872,9310,1,89,3957.83
2452031,1143,1492,1,80,1536
2451668,1040,8825,1,90,2763
2451288,1567,330,1,91,4369.82
2451911,271,7467,1,80,1632.8
2452304,247,7384,1,89,1896.59
2452619,1437,5246,1,91,3247.79
2451981,349,7338,1,92,13.8
2452264,87,7787,1,83,584.32
2452669,949,2959,1,85,3088.9
2451939,115,1405,1,80,374.4
2450963,1537,7126,1,82,8095.04
2452264,1283,3232,1,87,2123.67
2452401,1549,7684,1,87,2801.4
2451519,692,7111,1,86,7599.82
2451006,602,4355,1,83,5265.52
2451889,1457,2906,1,87,7247.97
2451945,811,4859,1,82,5033.98
2451412,1552,9679,1,91,4649.19
2452000,529,4544,1,95,5403.6
2451821,629,1816,1,82,76.26
2452627,1548,9624,1,80,655.2
2451278,895,2991,1,85,7214.8
2451449,1124,1393,1,85,68
2452681,1323,7839,1,82,1284.94
2451639,551,8311,1,81,4067.01
2451671,398,8748,1,91,292.11
2451610,1480,4213,1,80,1532.8
2451802,1472,9855,1,96,4911.36
2451531,745,5694,1,83,1509.77
2451398,1303,846,1,81,3781.89
2451240,751,870,1,82,4221.36
2451712,1039,18,1,80,2400
2452579,1791,9631,1,89,1087.58
2452376,767,4011,1,89,2336.25
2452796,757,3866,1,88,0
2452073,1207,2866,1,91,629.72
2452619,153,5187,1,91,628.81
2452433,441,3565,1,81,3351.78
2452660,321,7372,1,80,215.2
2452338,795,9316,1,91,1830.92
2451214,1562,4920,1,80,56.8
2452079,1069,9671,1,83,103.75
2451566,110,9589,1,82,3725.26
2451254,1454,8232,1,82,1565.38
2451452,1219,4153,1,86,1349.34
2451967,65,3075,1,86,1363.1
2452004,233,8624,1,86,10651.96
2451553,919,8547,1,90,7004.7
2452068,637,7197,1,81,143.37
2452397,1251,1610,1,86,1001.9
2451617,805,403,1,83,5899.64
2451316,1384,3056,1,88,8411.92
2452764,1038,3411,1,91,10140.13
2452571,780,5036,1,82,818.36
2451161,280,3560,1,82,1584.24
2451516,1658,2991,1,80,5894.4
2451209,152,4640,1,85,2870.45
2452379,43,1507,1,100,2665
2451746,1,3269,1,86,3435.7
2452738,1431,4858,1,94,727.56
2452659,1003,5494,1,81,2378.16
2451305,1381,2730,1,85,3713.65
2452560,1122,5669,1,81,9434.07
2451512,145,2002,1,80,871.2
2451736,1367,7657,1,85,2854.3
2451597,304,1504,1,80,7461.6
2451557,1052,8490,1,81,7085.07
2451868,1339,7738,1,87,1097.07
2451921,1685,4033,1,83,5213.23
2451569,1027,8830,1,89,259.88
2451512,44,7084,1,90,2980.8
2451587,310,4709,1,89,175.33
2452245,523,5392,1,85,798.15
2451597,1652,1064,1,83,3645.36
2452400,1229,7086,1,81,247.05
2452416,1421,701,1,80,416.8
2451915,1679,1976,1,93,1841.4
2452615,79,1135,1,80,49.6
2452452,1467,878,1,88,3125.76
2452109,1701,6697,1,90,824.4
2452289,459,3072,1,86,288.1
2452663,564,2420,1,85,3173.05
2451236,1546,1442,1,88,432.08
2451232,37,8553,1,93,6111.03
2451301,1118,5039,1,85,7809.8
2451124,946,1532,1,80,6855.2
2451295,632,4256,1,85,14793.4
2452455,823,3866,1,86,2850.9
2451074,944,6159,1,99,1622.61
2452522,1008,5403,1,85,4657.15
2451988,1765,5528,1,98,2853.76
2451601,562,7558,1,92,205.16
2452172,411,1770,1,92,3183.2
2452618,57,362,1,85,7076.25
2451536,164,7385,1,92,3521.76
2451831,1793,5038,1,81,9548.28
2451481,248,2062,1,82,2736.34
2451054,1219,8892,1,81,2933.01
2451067,1183,8892,1,86,6678.76
2451956,116,5270,1,83,3944.99
2450976,1646,9780,1,97,7484.52
2451801,997,1874,1,85,287.3
2450912,1028,8633,1,80,2567.2
2452362,498,6396,1,88,777.04
2452041,374,743,1,85,1716.15
2451872,1183,3494,1,88,11153.12
2451971,104,9593,1,81,75.33
2452650,900,7531,1,88,95.04
2452085,29,8262,1,95,9778.35
2451464,92,965,1,93,9347.43
2451740,1637,6422,1,92,192.28
2452135,97,6354,1,91,62.79
2451849,17,2943,1,90,315
2452684,192,5538,1,80,279.2
2452648,675,5538,1,83,1358.71
2452539,1561,6551,1,90,838.8
2451934,1687,6810,1,91,3010.28
2451111,154,3534,1,82,2082.8
2451873,386,4982,1,85,7348.25
2451587,727,5346,1,80,5440
2452752,925,7227,1,82,538.74
2452147,1507,886,1,83,478.91
2452657,1218,5438,1,86,4737.74
2451596,1219,4738,1,100,2629
2451108,962,3747,1,93,5073.15
2452413,1003,9125,1,89,1324.32
2452565,817,9390,1,85,926.5
2452687,1317,3184,1,83,4911.94
2451233,1652,2560,1,92,4887.96
2451286,871,7435,1,83,95.45
2451911,1025,4219,1,87,82.65
2452034,139,1829,1,96,1399.68
2451642,532,7044,1,80,751.2
2451010,559,453,1,94,3753.42
2452654,1422,8185,1,83,1718.1
2451540,422,9067,1,87,639.45
2451990,1165,8974,1,95,4297.8
2451569,344,8766,1,85,5333.75
2451002,320,3318,1,80,1495.2
2452766,72,1,1,97,6396.18
2451660,523,8222,1,87,3445.2
2451206,302,88,1,91,1750.84
2452055,79,1109,1,90,939.6
2452400,1681,1171,1,82,2571.52
2451545,1477,705,1,90,614.7
2451566,1004,705,1,83,6010.86
2450907,127,518,1,81,3550.23
2451952,1442,9322,1,87,2901.45
2451696,247,4017,1,96,4574.4
2451959,1235,8915,1,80,463.2
2451738,1265,1158,1,83,3662.79
2452679,1773,834,1,90,3976.2
2452651,219,2918,1,82,3159.46
2451264,361,8692,1,83,2203.65
2451785,1615,9454,1,96,3061.44
2451389,1306,8342,1,90,2013.3
2452661,1458,2131,1,80,6209.6
2452030,1765,333,1,82,254.2
2451128,1726,2452,1,81,9702.18
2451503,284,3907,1,87,5190.42
2452340,1773,6934,1,97,109.61
2452299,437,9482,1,95,9153.25
2452471,582,6835,1,89,3261.85
2452595,1689,3560,1,92,2561.28
2452002,735,5949,1,89,1293.17
2451097,812,1205,1,89,8366.89
2452716,205,5621,1,89,3356.19
2451915,158,151,1,89,443.22
2452577,1015,7017,1,82,7857.24
2451078,304,88,1,93,1786.53
2452642,1203,5293,1,94,177.66
2451562,1700,6882,1,89,1889.47
2451928,1799,2357,1,85,1467.95
2452409,485,6665,1,85,464.95
2451790,275,9992,1,82,1949.96
2451905,1001,8046,1,85,527.85
2451464,1156,4208,1,91,394.03
2451983,369,852,1,94,1335.74
2452178,647,3445,1,87,409.77
2452551,921,4837,1,80,528
2450977,962,8034,1,82,4574.78
2452359,1229,4466,1,99,7326
2451163,1582,479,1,80,711.2
2451584,604,9996,1,90,4579.2
2452306,696,6920,1,85,4788.9
2452227,903,4254,1,81,1417.5
2451989,155,1039,1,83,1105.56
2451843,623,167,1,80,3169.6
2451885,872,167,1,83,5838.22
2451590,212,135,1,98,4530.54
2451968,854,7495,1,81,1552.77
2451910,236,7906,1,88,1649.12
2451053,13,9018,1,83,565.23
2451968,761,3546,1,85,0
2451460,1579,5320,1,87,4573.59
2451081,416,4158,1,85,1227.4
2452301,1427,2025,1,83,3232.85
2452613,1452,1795,1,82,7752.28
2452008,641,2354,1,88,1077.12
2451484,1297,4223,1,82,608.44
2451889,971,9425,1,95,4305.4
2451335,1675,762,1,90,8976.6
2452673,1533,1242,1,82,1630.16
2451611,298,2002,1,81,7050.24
2452448,348,9132,1,91,331.24
2451928,859,3139,1,99,73.26
2450977,484,8244,1,91,12456.08
2451515,56,8388,1,85,10775.45
2452747,387,5477,1,86,4404.92
2452382,889,2620,1,83,2896.7
2451494,656,6462,1,90,133.2
2451384,1534,4904,1,83,45.65
2451059,493,9162,1,88,1757.36
2452273,1547,303,1,82,3252.12
2451208,928,807,1,90,142.2
2452621,609,402,1,82,4679.74
2452096,619,6563,1,85,1238.45
2451717,101,7358,1,85,1500.25
2451054,1192,6529,1,83,991.02
2451583,698,4874,1,92,1520.76
2451243,1138,9308,1,92,364.32
2451761,787,46,1,96,185.28
2451173,1526,8193,1,80,2256
2451163,1688,8310,1,87,8163.21
2452262,407,5756,1,88,14000.8
2452555,1687,8187,1,80,2238.4
2452111,669,6931,1,85,6282.35
2452045,1229,1142,1,86,2338.34
2451577,346,2448,1,81,3419.01
2452339,1231,1822,1,80,129.6
2452288,1325,8223,1,81,690.12
2452037,895,4341,1,87,4897.23
2451942,929,5580,1,95,759.05
2452375,1407,2304,1,99,1745.37
2451066,1112,2445,1,83,4071.98
2451856,413,5987,1,85,1639.65
2451384,16,7443,1,85,1993.25
2452376,1175,1428,1,81,417.15
2452212,19,1428,1,81,2759.67
2452693,183,9642,1,87,6550.23
2452730,1767,3268,1,80,2037.6
2451405,1426,4228,1,87,442.83
2451723,913,3115,1,85,1535.95
2451113,1039,9746,1,83,1253.3
2452529,1476,9385,1,88,756.8
2452448,463,5321,1,90,669.6
2451157,952,7851,1,88,1705.44
2451932,17,1327,1,81,424.44
2451662,698,4079,1,90,3195.9
2451836,842,4372,1,80,551.2
2451171,1508,7263,1,87,2094.96
2452713,1260,6992,1,88,364.32
2451665,271,2265,1,97,1644.15
2451208,1657,9577,1,85,267.75
2452360,653,7904,1,80,1390.4
2451881,584,3439,1,93,5514.9
2451001,643,6589,1,93,2783.49
2452439,894,7783,1,86,3262.84
2452072,1029,46,1,94,1398.72
2452292,681,7724,1,86,176.3
2452192,295,2188,1,99,4100.58
2451582,1010,9759,1,96,1158.72
2451932,1622,9302,1,83,2084.96
2452281,165,4101,1,81,3997.35
2452461,876,3289,1,93,12695.43
2451111,958,4675,1,81,2156.22
2452573,21,8523,1,86,3831.3
2451515,1724,1995,1,85,9081.4
2451849,1112,2085,1,82,793.76
2452225,1455,5541,1,85,3788.45
2451922,881,3433,1,85,6957.25
2452414,1269,5432,1,80,2017.6
2451790,1663,5122,1,93,1848.84
2451328,818,8566,1,92,732.32
2451623,1385,6924,1,81,1323.54
2451176,1462,8444,1,85,13973.15
2451118,658,9589,1,89,1724.82
2451869,715,9595,1,96,610.56
2451674,259,6947,1,82,378.84
2451437,172,592,1,83,161.02
2452269,505,2891,1,82,3038.1
2451453,514,6836,1,81,927.45
2451819,1178,3146,1,94,4003.46
2451089,178,7630,1,87,3017.16
2450928,1060,3481,1,80,4234.4
2452215,1019,7358,1,91,3219.58
2452557,85,3431,1,90,4774.5
2451773,131,1562,1,86,5123.02
2452634,811,3813,1,82,3653.1
2452044,653,3148,1,80,1567.2
2452236,5,1811,1,90,8364.6
2452236,1317,7573,1,87,1010.07
2452314,591,1083,1,86,1844.7
2452161,567,5881,1,81,1065.15
2451655,1496,3988,1,83,3992.3
2451593,265,7474,1,82,1503.88
2452322,1751,6358,1,85,3523.25
2452012,1195,9130,1,87,389.76
2452004,1292,4998,1,90,5976
2452252,763,2430,1,85,3720.45
2451828,1217,1334,1,92,2149.12
2452649,834,246,1,92,1273.28
2451887,386,8342,1,85,1798.6
2452464,811,450,1,90,4248.9
2451412,1396,9142,1,99,4843.08
2452312,207,2469,1,86,183.18
2451545,1190,2634,1,93,2152.95
2451560,1504,747,1,91,1361.36
2451852,287,9405,1,80,4046.4
2452613,36,2553,1,86,262.3
2452248,1285,7916,1,89,13453.24
2451176,1555,1206,1,82,5685.88
2451949,1289,1315,1,89,1661.63
2452206,1403,6560,1,89,2769.68
2452644,1507,2975,1,92,6257.84
2451148,796,3559,1,85,1496.85
2452408,415,352,1,85,6845.9
2451774,691,7484,1,92,4381.96
2451091,601,514,1,82,3796.6
2451539,787,5768,1,90,7956.9
2451201,262,2173,1,85,732.7
2451734,311,8305,1,87,2966.7
2452303,363,6364,1,88,147.84
2451978,1721,8641,1,89,8425.63
2452021,1541,8302,1,80,1760
2451448,814,2819,1,92,2524.48
2452439,180,2956,1,83,1645.89
2452584,1321,4098,1,87,3067.62
2451896,884,7545,1,86,1078.44
2452453,816,2127,1,94,1018.02
2452726,264,4468,1,95,150.1
2450913,1051,5741,1,90,5251.5
2452633,618,5193,1,81,4813.83
2452626,1500,7091,1,81,1586.79
2452179,987,218,1,80,557.6
2452708,1224,4526,1,87,6648.54
2452705,1725,4602,1,88,13497.44
2451468,1654,1757,1,82,4985.6
2451206,1294,9992,1,96,456.96
2451291,1306,807,1,83,1731.38
2451249,1225,9898,1,85,4397.05
2452513,1501,5153,1,88,735.68
2451695,239,3742,1,87,6594.6
2451921,625,6484,1,83,1504.79
2452333,975,3253,1,82,4337.8
2451050,62,2265,1,97,275.48
2451469,254,6638,1,96,4589.76
2451654,52,2442,1,93,2417.07
2452333,909,9296,1,91,985.53
2452625,1068,5660,1,83,5031.46
2451229,235,3032,1,86,578.78
2451910,1127,6225,1,97,8424.45
2451619,1540,2025,1,87,1072.71
2452337,147,811,1,81,876.42
2452493,504,4841,1,88,1602.48
2451956,1747,2624,1,80,80
2452599,285,4373,1,86,10752.58
2451451,236,155,1,83,6523.8
2452567,660,1211,1,97,3665.63
2452036,727,4584,1,91,11240.32
2451337,1699,5706,1,98,954.52
2451628,364,8570,1,88,4146.56
2451572,1100,8570,1,92,6410.56
2451132,349,1190,1,80,81.6
2451717,275,8444,1,82,1161.12
2452182,1549,5066,1,81,3193.02
2451101,580,969,1,90,5706
2452411,75,1458,1,82,2127.9
2452745,864,6519,1,93,71.61
2452375,1125,9431,1,94,4957.56
2451478,332,7142,1,91,159.25
2451207,262,7778,1,87,5323.53
2451107,994,247,1,81,7272.18
2451662,1156,5339,1,94,3114.22
2451629,1636,5738,1,85,1163.65
2451525,733,8687,1,82,7648.14
2451205,1351,1253,1,83,825.02
2451995,345,6483,1,91,8287.37
2451040,70,5080,1,82,36.08
2451199,703,3590,1,81,908.01
2451971,175,5185,1,80,3280.8
2452722,303,6179,1,89,6561.97
2452113,297,8941,1,85,1529.15
2452768,235,1014,1,82,2408.34
2451956,507,4611,1,81,5938.92
