c_customer_sk,c_birth_year,c_birth_country,c_preferred_cust_flag
8940,1932,"SINGAPORE","N"
8954,1932,"PUERTO RICO","N"
9058,1932,"BRUNEI DARUSSALAM","N"
9225,1932,"UNITED KINGDOM","N"
9287,1932,"ALBANIA","N"
9302,1932,"ESTONIA","N"
9311,1932,"RUSSIAN FEDERATION","N"
9397,1932,"ANDORRA","N"
9464,1932,"CAMBODIA","N"
9503,1932,"CYPRUS","N"
9585,1932,"SAMOA","N"
9643,1932,"FRENCH GUIANA","N"
9814,1932,"MONGOLIA","N"
9896,1932,"NEW ZEALAND","N"
9986,1932,"MOZAMBIQUE","N"
250,1953,"HONG KONG","N"
422,1953,"GREENLAND","N"
594,1953,"CUBA","N"
716,1953,"SUDAN","N"
851,1953,"OMAN","N"
1184,1953,"SURINAME","N"
1341,1953,"VANUATU","N"
1352,1953,"LUXEMBOURG","N"
1574,1953,"ZAMBIA","N"
1654,1953,"VIRGIN ISLANDS, U.S.","N"
1845,1953,"SIERRA LEONE","N"
1911,1953,"ARUBA","N"
1987,1953,"TRINIDAD AND TOBAGO","N"
2103,1953,"SERBIA","N"
2163,1953,"NIUE","N"
2289,1953,"SAUDI ARABIA","N"
2292,1953,"VANUATU","N"
2307,1953,"NORFOLK ISLAND","N"
2391,1953,"SEYCHELLES","N"
2404,1953,"DENMARK","N"
2488,1953,"UZBEKISTAN","N"
2559,1953,"NEPAL","N"
2820,1953,"DJIBOUTI","N"
2830,1953,"GREECE","N"
2921,1953,"YEMEN","N"
3096,1953,"CZECH REPUBLIC","N"
3122,1953,"CYPRUS","N"
3316,1953,"COSTA RICA","N"
3480,1953,"MEXICO","N"
3484,1953,"MARTINIQUE","N"
3887,1953,"SENEGAL","N"
3990,1953,"BELIZE","N"
4051,1953,"BAHAMAS","N"
4270,1953,"HONG KONG","N"
4536,1953,"MEXICO","N"
4550,1953,"ANTARCTICA","N"
4604,1953,"BOUVET ISLAND","N"
4608,1953,"SAUDI ARABIA","N"
4742,1953,"BURKINA FASO","N"
4744,1953,"COMOROS","N"
4759,1953,"SPAIN","N"
4812,1953,"AUSTRIA","N"
5061,1953,"GIBRALTAR","N"
5113,1953,"SERBIA","N"
5120,1953,"MALAWI","N"
5313,1953,"SPAIN","N"
5317,1953,"LATVIA","N"
5335,1953,"URUGUAY","N"
5414,1953,"SLOVENIA","N"
5661,1953,"NEW CALEDONIA","N"
5698,1953,"KOREA, REPUBLIC OF","N"
5712,1953,"MYANMAR","N"
5736,1953,"BOLIVIA","N"
5737,1953,"JERSEY","N"
5755,1953,"BERMUDA","N"
5882,1953,"ARUBA","N"
5964,1953,"PANAMA","N"
6140,1953,"MARTINIQUE","N"
6181,1953,"VIET NAM","N"
6217,1953,"MARTINIQUE","N"
6257,1953,"SWITZERLAND","N"
6269,1953,"GABON","N"
6348,1953,"OMAN","N"
6466,1953,"ARUBA","N"
6570,1953,"QATAR","N"
6681,1953,"MALI","N"
6737,1953,"CÔTE D'IVOIRE","N"
6842,1953,"AMERICAN SAMOA","N"
6894,1953,"ALBANIA","N"
6915,1953,"CANADA","N"
6978,1953,"TUVALU","N"
7024,1953,"KUWAIT","N"
7494,1953,"ISLE OF MAN","N"
7614,1953,"MONTSERRAT","N"
8015,1953,"SENEGAL","N"
8024,1953,"MALTA","N"
8278,1953,"ISLE OF MAN","N"
8427,1953,"WALLIS AND FUTUNA","N"
8470,1953,"ERITREA","N"
8485,1953,"TAJIKISTAN","N"
8530,1953,"SINGAPORE","N"
8705,1953,"POLAND","N"
8852,1953,"NETHERLANDS ANTILLES","N"
9131,1953,"MALAWI","N"
9616,1953,"POLAND","N"
9728,1953,"ALAND ISLANDS","N"
9857,1953,"OMAN","N"
9895,1953,"ITALY","N"
239,1933,"INDONESIA","N"
339,1933,"MADAGASCAR","N"
428,1933,"UKRAINE","N"
574,1933,"HUNGARY","N"
670,1933,"GUYANA","N"
714,1933,"TUVALU","N"
891,1933,"SWAZILAND","N"
1183,1933,"INDIA","N"
1193,1933,"NEW CALEDONIA","N"
1488,1933,"SAINT LUCIA","N"
1505,1933,"RÉUNION","N"
1686,1933,"NIGER","N"
2004,1933,"CAMEROON","N"
2179,1933,"VENEZUELA","N"
2300,1933,"ARMENIA","N"
2334,1933,"NIGER","N"
2337,1933,"MACAO","N"
2489,1933,"KAZAKHSTAN","N"
2519,1933,"EL SALVADOR","N"
2817,1933,"BERMUDA","N"
2976,1933,"PAKISTAN","N"
3223,1933,"ALAND ISLANDS","N"
3238,1933,"ZIMBABWE","N"
3326,1933,"LEBANON","N"
3331,1933,"ANGUILLA","N"
3488,1933,"WALLIS AND FUTUNA","N"
3542,1933,"CAMEROON","N"
3911,1933,"GABON","N"
3921,1933,"JAPAN","N"
4114,1933,"MALAYSIA","N"
4160,1933,"COMOROS","N"
4367,1933,"WALLIS AND FUTUNA","N"
4716,1933,"VANUATU","N"
5071,1933,"PUERTO RICO","N"
5102,1933,"ICELAND","N"
5141,1933,"GRENADA","N"
5265,1933,"GUINEA","N"
5288,1933,"ESTONIA","N"
5459,1933,"GERMANY","N"
5615,1933,"HONG KONG","N"
5641,1933,"ANTARCTICA","N"
5767,1933,"COMOROS","N"
5842,1933,"SWAZILAND","N"
6023,1933,"HAITI","N"
6282,1933,"CAPE VERDE","N"
6315,1933,"BURUNDI","N"
6405,1933,"CHINA","N"
6790,1933,"CROATIA","N"
6955,1933,"MALTA","N"
6958,1933,"CAPE VERDE","N"
6965,1933,"INDIA","N"
7104,1933,"FRENCH GUIANA","N"
7264,1933,"BURUNDI","N"
7293,1933,"AUSTRALIA","N"
7558,1933,"IRELAND","N"
7751,1933,"GUERNSEY","N"
7821,1933,"BULGARIA","N"
7859,1933,"MOROCCO","N"
7942,1933,"MOROCCO","N"
8036,1933,"GUYANA","N"
8037,1933,"BARBADOS","N"
8075,1933,"QATAR","N"
8185,1933,"GUERNSEY","N"
8354,1933,"ERITREA","N"
8390,1933,"MAURITIUS","N"
8515,1933,"FAROE ISLANDS","N"
8577,1933,"ERITREA","N"
8646,1933,"CAMBODIA","N"
8666,1933,"QATAR","N"
8685,1933,"SLOVAKIA","N"
8801,1933,"AZERBAIJAN","N"
9209,1933,"BHUTAN","N"
9229,1933,"PORTUGAL","N"
9250,1933,"BAHRAIN","N"
9365,1933,"TURKMENISTAN","N"
9405,1933,"PERU","N"
9412,1933,"NAURU","N"
9478,1933,"GHANA","N"
9505,1933,"GIBRALTAR","N"
9583,1933,"PERU","N"
9849,1933,"PAPUA NEW GUINEA","N"
9892,1933,"AFGHANISTAN","N"
9937,1933,"GUATEMALA","N"
48,1961,"LUXEMBOURG","N"
49,1961,"NETHERLANDS ANTILLES","N"
99,1961,"NAMIBIA","N"
189,1961,"MALDIVES","N"
208,1961,"MONTENEGRO","N"
257,1961,"LUXEMBOURG","N"
279,1961,"AZERBAIJAN","N"
346,1961,"BHUTAN","N"
403,1961,"ERITREA","N"
753,1961,"TUNISIA","N"
854,1961,"KUWAIT","N"
986,1961,"HONG KONG","N"
1021,1961,"BERMUDA","N"
1022,1961,"WALLIS AND FUTUNA","N"
1051,1961,"BOTSWANA","N"
1097,1961,"INDIA","N"
1131,1961,"MOLDOVA, REPUBLIC OF","N"
1466,1961,"MAYOTTE","N"
1667,1961,"URUGUAY","N"
1853,1961,"KAZAKHSTAN","N"
2358,1961,"ALBANIA","N"
2424,1961,"ANTARCTICA","N"
2671,1961,"AMERICAN SAMOA","N"
2678,1961,"AUSTRIA","N"
2809,1961,"EQUATORIAL GUINEA","N"
2834,1961,"MONTSERRAT","N"
2857,1961,"SAMOA","N"
2961,1961,"BARBADOS","N"
3085,1961,"ERITREA","N"
3132,1961,"MONGOLIA","N"
3135,1961,"CAYMAN ISLANDS","N"
3782,1961,"MYANMAR","N"
3874,1961,"SAUDI ARABIA","N"
4148,1961,"VENEZUELA","N"
4161,1961,"IRAQ","N"
4407,1961,"MYANMAR","N"
4409,1961,"DENMARK","N"
4491,1961,"SAINT LUCIA","N"
4628,1961,"SWAZILAND","N"
4790,1961,"CAMEROON","N"
4923,1961,"HONDURAS","N"
5185,1961,"ETHIOPIA","N"
5287,1961,"MOZAMBIQUE","N"
5505,1961,"HONDURAS","N"
5550,1961,"FIJI","N"
5876,1961,"ARUBA","N"
5931,1961,"JAMAICA","N"
6144,1961,"TUNISIA","N"
6165,1961,"NETHERLANDS","N"
6353,1961,"CHRISTMAS ISLAND","N"
6443,1961,"POLAND","N"
6744,1961,"VIET NAM","N"
6783,1961,"ESTONIA","N"
6792,1961,"GABON","N"
6821,1961,"UNITED KINGDOM","N"
6840,1961,"LIECHTENSTEIN","N"
6857,1961,"BULGARIA","N"
6871,1961,"SEYCHELLES","N"
6998,1961,"PALAU","N"
7011,1961,"BULGARIA","N"
7038,1961,"LESOTHO","N"
7052,1961,"NIGER","N"
7086,1961,"ARGENTINA","N"
7103,1961,"MOLDOVA, REPUBLIC OF","N"
7307,1961,"KYRGYZSTAN","N"
7355,1961,"POLAND","N"
7422,1961,"GUAM","N"
8016,1961,"ROMANIA","N"
8262,1961,"ZIMBABWE","N"
8364,1961,"GUINEA-BISSAU","N"
8753,1961,"PITCAIRN","N"
8895,1961,"NAMIBIA","N"
8974,1961,"NAURU","N"
8975,1961,"PANAMA","N"
9254,1961,"ALAND ISLANDS","N"
9308,1961,"VIET NAM","N"
9388,1961,"CHINA","N"
9491,1961,"TUNISIA","N"
9652,1961,"QATAR","N"
9720,1961,"BELIZE","N"
9824,1961,"TOGO","N"
9902,1961,"SERBIA","N"
9967,1961,"SEYCHELLES","N"
389,1970,"BARBADOS","N"
556,1970,"TUNISIA","N"
585,1970,"PALAU","N"
620,1970,"HONG KONG","N"
625,1970,"KYRGYZSTAN","N"
692,1970,"ANDORRA","N"
822,1970,"SPAIN","N"
940,1970,"GABON","N"
1124,1970,"NEW ZEALAND","N"
1232,1970,"NETHERLANDS","N"
1246,1970,"MONTENEGRO","N"
1455,1970,"JERSEY","N"
1827,1970,"SAUDI ARABIA","N"
1921,1970,"SYRIAN ARAB REPUBLIC","N"
1927,1970,"PERU","N"
1935,1970,"INDIA","N"
2016,1970,"CÔTE D'IVOIRE","N"
2040,1970,"MALAYSIA","N"
2143,1970,"ISRAEL","N"
2426,1970,"SUDAN","N"
2440,1970,"SINGAPORE","N"
2442,1970,"HONDURAS","N"
2852,1970,"TIMOR-LESTE","N"
3034,1970,"AFGHANISTAN","N"
3071,1970,"PHILIPPINES","N"
3194,1970,"SYRIAN ARAB REPUBLIC","N"
3243,1970,"BELIZE","N"
3441,1970,"SLOVENIA","N"
3645,1970,"JERSEY","N"
3884,1970,"MARSHALL ISLANDS","N"
4357,1970,"PALAU","N"
4392,1970,"ERITREA","N"
4528,1970,"PAPUA NEW GUINEA","N"
4681,1970,"OMAN","N"
4830,1970,"UNITED STATES","N"
4904,1970,"ALGERIA","N"
5064,1970,"MAURITANIA","N"
5107,1970,"RÉUNION","N"
5108,1970,"AMERICAN SAMOA","N"
5208,1970,"NIGER","N"
5211,1970,"CZECH REPUBLIC","N"
5231,1970,"MALAYSIA","N"
5446,1970,"ISLE OF MAN","N"
5501,1970,"JERSEY","N"
5685,1970,"NEW CALEDONIA","N"
5776,1970,"CÔTE D'IVOIRE","N"
5802,1970,"AUSTRIA","N"
6016,1970,"ALBANIA","N"
6111,1970,"QATAR","N"
6215,1970,"MONGOLIA","N"
6427,1970,"JAPAN","N"
6553,1970,"KAZAKHSTAN","N"
6712,1970,"EGYPT","N"
6934,1970,"SAMOA","N"
7041,1970,"HUNGARY","N"
7110,1970,"SRI LANKA","N"
7321,1970,"MALDIVES","N"
7354,1970,"VIET NAM","N"
7476,1970,"VANUATU","N"
7618,1970,"TOGO","N"
7702,1970,"ALBANIA","N"
7867,1970,"MAYOTTE","N"
8133,1970,"NEW CALEDONIA","N"
8382,1970,"WESTERN SAHARA","N"
8385,1970,"YEMEN","N"
8479,1970,"IRAQ","N"
8520,1970,"TONGA","N"
8580,1970,"WESTERN SAHARA","N"
8820,1970,"MONTENEGRO","N"
8962,1970,"MONACO","N"
9001,1970,"LIBERIA","N"
9023,1970,"KENYA","N"
9047,1970,"MAURITANIA","N"
9078,1970,"BAHRAIN","N"
9106,1970,"CAPE VERDE","N"
9149,1970,"PHILIPPINES","N"
9163,1970,"NETHERLANDS ANTILLES","N"
9206,1970,"KAZAKHSTAN","N"
9420,1970,"KENYA","N"
9553,1970,"PANAMA","N"
9762,1970,"WESTERN SAHARA","N"
9908,1970,"YEMEN","N"
5,1956,"FIJI","N"
12,1956,"TURKMENISTAN","N"
21,1956,"BAHAMAS","N"
153,1956,"AMERICAN SAMOA","N"
818,1956,"INDIA","N"
865,1956,"NICARAGUA","N"
884,1956,"SAINT LUCIA","N"
889,1956,"NEPAL","N"
1155,1956,"MOROCCO","N"
1402,1956,"ANTIGUA AND BARBUDA","N"
1609,1956,"TUVALU","N"
1726,1956,"MALI","N"
2014,1956,"KIRIBATI","N"
2025,1956,"UNITED KINGDOM","N"
2095,1956,"POLAND","N"
2141,1956,"YEMEN","N"
2296,1956,"CUBA","N"
2355,1956,"ROMANIA","N"
2436,1956,"DENMARK","N"
2439,1956,"MOLDOVA, REPUBLIC OF","N"
2491,1956,"GUADELOUPE","N"
2514,1956,"VENEZUELA","N"
2572,1956,"PALAU","N"
2721,1956,"KUWAIT","N"
2738,1956,"IRAQ","N"
2758,1956,"EL SALVADOR","N"
2882,1956,"ARMENIA","N"
3157,1956,"FRANCE","N"
3577,1956,"AUSTRALIA","N"
3729,1956,"SRI LANKA","N"
3791,1956,"NETHERLANDS ANTILLES","N"
3844,1956,"MALAWI","N"
3975,1956,"SAMOA","N"
3977,1956,"CYPRUS","N"
4059,1956,"BARBADOS","N"
4382,1956,"GUYANA","N"
4431,1956,"BOLIVIA","N"
4647,1956,"ECUADOR","N"
4821,1956,"ICELAND","N"
4899,1956,"BRUNEI DARUSSALAM","N"
4924,1956,"UNITED ARAB EMIRATES","N"
5248,1956,"UGANDA","N"
5677,1956,"IRAQ","N"
5766,1956,"MEXICO","N"
5977,1956,"AUSTRALIA","N"
6114,1956,"NAURU","N"
6599,1956,"SIERRA LEONE","N"
6644,1956,"BOLIVIA","N"
6704,1956,"MALDIVES","N"
6763,1956,"UZBEKISTAN","N"
6980,1956,"SAINT LUCIA","N"
7029,1956,"UGANDA","N"
7054,1956,"FAROE ISLANDS","N"
7112,1956,"SUDAN","N"
7213,1956,"BURUNDI","N"
7276,1956,"LITHUANIA","N"
7280,1956,"ESTONIA","N"
7316,1956,"SAUDI ARABIA","N"
7318,1956,"SYRIAN ARAB REPUBLIC","N"
7444,1956,"MOLDOVA, REPUBLIC OF","N"
7644,1956,"CAYMAN ISLANDS","N"
7661,1956,"CUBA","N"
7706,1956,"SWITZERLAND","N"
7757,1956,"GUINEA-BISSAU","N"
7802,1956,"ROMANIA","N"
7844,1956,"ERITREA","N"
7906,1956,"MONTSERRAT","N"
8190,1956,"BARBADOS","N"
8322,1956,"NICARAGUA","N"
8374,1956,"BAHRAIN","N"
8389,1956,"FAROE ISLANDS","N"
8528,1956,"MONTENEGRO","N"
8786,1956,"LATVIA","N"
8825,1956,"JAMAICA","N"
8934,1956,"TUNISIA","N"
9370,1956,"POLAND","N"
9582,1956,"BELIZE","N"
9599,1956,"JAMAICA","N"
9618,1956,"VENEZUELA","N"
9804,1956,"TURKMENISTAN","N"
9940,1956,"CHILE","N"
156,1945,"INDIA","N"
213,1945,"LUXEMBOURG","N"
243,1945,"EQUATORIAL GUINEA","N"
304,1945,"ALBANIA","N"
350,1945,"GUINEA-BISSAU","N"
457,1945,"MALTA","N"
635,1945,"GERMANY","N"
682,1945,"HAITI","N"
703,1945,"FINLAND","N"
1055,1945,"MEXICO","N"
1330,1945,"PUERTO RICO","N"
1464,1945,"ZAMBIA","N"
1760,1945,"MONTENEGRO","N"
1863,1945,"KIRIBATI","N"
1891,1945,"ANTARCTICA","N"
1959,1945,"MACAO","N"
1992,1945,"GUADELOUPE","N"
2093,1945,"AMERICAN SAMOA","N"
2367,1945,"GIBRALTAR","N"
2681,1945,"SOMALIA","N"
2792,1945,"GREECE","N"
2901,1945,"LATVIA","N"
2916,1945,"JAPAN","N"
2954,1945,"AZERBAIJAN","N"
2956,1945,"RUSSIAN FEDERATION","N"
3088,1945,"MEXICO","N"
3401,1945,"TIMOR-LESTE","N"
3616,1945,"TOGO","N"
3664,1945,"IRAQ","N"
3818,1945,"ANTIGUA AND BARBUDA","N"
4349,1945,"MOZAMBIQUE","N"
4486,1945,"AUSTRIA","N"
4630,1945,"VIRGIN ISLANDS, U.S.","N"
4707,1945,"LIBERIA","N"
4823,1945,"TAJIKISTAN","N"
4880,1945,"MALTA","N"
4968,1945,"BELIZE","N"
5042,1945,"COSTA RICA","N"
5131,1945,"GUATEMALA","N"
5196,1945,"AUSTRIA","N"
5347,1945,"JAMAICA","N"
5422,1945,"GRENADA","N"
5631,1945,"GUADELOUPE","N"
5680,1945,"GAMBIA","N"
5727,1945,"CHRISTMAS ISLAND","N"
5887,1945,"ITALY","N"
6177,1945,"ANGOLA","N"
6483,1945,"ARUBA","N"
6948,1945,"JAPAN","N"
6957,1945,"HONDURAS","N"
6959,1945,"ARMENIA","N"
7145,1945,"VANUATU","N"
7220,1945,"PITCAIRN","N"
7265,1945,"LESOTHO","N"
7373,1945,"JORDAN","N"
7486,1945,"FIJI","N"
7498,1945,"TOGO","N"
7546,1945,"INDONESIA","N"
7581,1945,"NIGER","N"
7656,1945,"BHUTAN","N"
7712,1945,"NETHERLANDS ANTILLES","N"
7735,1945,"BAHAMAS","N"
7753,1945,"FRANCE","N"
7810,1945,"LUXEMBOURG","N"
7940,1945,"GUINEA-BISSAU","N"
8216,1945,"CZECH REPUBLIC","N"
8228,1945,"SIERRA LEONE","N"
8681,1945,"BOTSWANA","N"
8901,1945,"NEW CALEDONIA","N"
9303,1945,"KIRIBATI","N"
9371,1945,"JORDAN","N"
9435,1945,"PITCAIRN","N"
9537,1945,"BRAZIL","N"
9650,1945,"MAYOTTE","N"
9677,1945,"TURKMENISTAN","N"
9687,1945,"BELARUS","N"
9757,1945,"CAPE VERDE","N"
9782,1945,"ROMANIA","N"
9964,1945,"GUYANA","N"
9995,1945,"SWEDEN","N"
41,1939,"ISLE OF MAN","N"
203,1939,"CHILE","N"
344,1939,"LESOTHO","N"
388,1939,"MONACO","N"
706,1939,"OMAN","N"
894,1939,"CAYMAN ISLANDS","N"
933,1939,"SURINAME","N"
1034,1939,"CÔTE D'IVOIRE","N"
1076,1939,"TURKMENISTAN","N"
1550,1939,"INDONESIA","N"
1579,1939,"BELARUS","N"
1638,1939,"LIECHTENSTEIN","N"
1642,1939,"UNITED KINGDOM","N"
1753,1939,"NEW CALEDONIA","N"
1804,1939,"MAURITANIA","N"
2021,1939,"ANGUILLA","N"
2124,1939,"ARGENTINA","N"
2370,1939,"TOGO","N"
2421,1939,"SRI LANKA","N"
2425,1939,"LIECHTENSTEIN","N"
2791,1939,"GIBRALTAR","N"
2912,1939,"MAURITIUS","N"
3029,1939,"KAZAKHSTAN","N"
3051,1939,"LITHUANIA","N"
3286,1939,"SAINT HELENA","N"
3532,1939,"GUINEA-BISSAU","N"
3562,1939,"ANTIGUA AND BARBUDA","N"
3747,1939,"HAITI","N"
3932,1939,"ECUADOR","N"
3943,1939,"COMOROS","N"
4337,1939,"GUINEA-BISSAU","N"
4563,1939,"LEBANON","N"
4638,1939,"CHRISTMAS ISLAND","N"
4708,1939,"BOUVET ISLAND","N"
4740,1939,"VANUATU","N"
4786,1939,"GAMBIA","N"
4808,1939,"MARTINIQUE","N"
5043,1939,"NICARAGUA","N"
5144,1939,"SWEDEN","N"
5363,1939,"EL SALVADOR","N"
5586,1939,"PITCAIRN","N"
5602,1939,"ESTONIA","N"
6196,1939,"GUATEMALA","N"
6225,1939,"TOGO","N"
6379,1939,"SWEDEN","N"
6396,1939,"ICELAND","N"
6412,1939,"MADAGASCAR","N"
6439,1939,"ECUADOR","N"
6560,1939,"FINLAND","N"
6610,1939,"CAYMAN ISLANDS","N"
6665,1939,"NAMIBIA","N"
6961,1939,"UGANDA","N"
6989,1939,"THAILAND","N"
7223,1939,"CANADA","N"
7242,1939,"NEW ZEALAND","N"
7518,1939,"SEYCHELLES","N"
7626,1939,"TOGO","N"
7646,1939,"MAYOTTE","N"
7782,1939,"ICELAND","N"
7956,1939,"SIERRA LEONE","N"
7974,1939,"MYANMAR","N"
8010,1939,"ETHIOPIA","N"
8226,1939,"NORWAY","N"
8248,1939,"ZIMBABWE","N"
8305,1939,"PUERTO RICO","N"
8369,1939,"ALGERIA","N"
8397,1939,"LESOTHO","N"
8782,1939,"SPAIN","N"
8844,1939,"CAYMAN ISLANDS","N"
8970,1939,"NIGER","N"
9030,1939,"SLOVENIA","N"
9081,1939,"MEXICO","N"
9124,1939,"VANUATU","N"
9337,1939,"AUSTRALIA","N"
9367,1939,"UNITED KINGDOM","N"
9474,1939,"GERMANY","N"
9504,1939,"CUBA","N"
9608,1939,"AMERICAN SAMOA","N"
9951,1939,"CHRISTMAS ISLAND","N"
254,1991,"KIRIBATI","N"
366,1991,"TURKEY","N"
483,1991,"INDIA","N"
562,1991,"BERMUDA","N"
637,1991,"AZERBAIJAN","N"
837,1991,"NORFOLK ISLAND","N"
874,1991,"LIECHTENSTEIN","N"
938,1991,"KYRGYZSTAN","N"
1380,1991,"TRINIDAD AND TOBAGO","N"
1483,1991,"ICELAND","N"
1951,1991,"BHUTAN","N"
2044,1991,"NETHERLANDS ANTILLES","N"
2102,1991,"CAPE VERDE","N"
2107,1991,"NIUE","N"
2393,1991,"BURKINA FASO","N"
2515,1991,"GUADELOUPE","N"
2533,1991,"ROMANIA","N"
2914,1991,"UNITED ARAB EMIRATES","N"
2959,1991,"LESOTHO","N"
3018,1991,"POLAND","N"
3116,1991,"ALAND ISLANDS","N"
3218,1991,"VENEZUELA","N"
3400,1991,"SIERRA LEONE","N"
3431,1991,"FIJI","N"
3451,1991,"LEBANON","N"
3458,1991,"TIMOR-LESTE","N"
3688,1991,"PHILIPPINES","N"
3705,1991,"CAPE VERDE","N"
3853,1991,"NICARAGUA","N"
4070,1991,"BURUNDI","N"
4388,1991,"SERBIA","N"
4559,1991,"UGANDA","N"
4585,1991,"AZERBAIJAN","N"
4655,1991,"ISLE OF MAN","N"
4717,1991,"ALAND ISLANDS","N"
4719,1991,"MYANMAR","N"
4849,1991,"GUERNSEY","N"
4892,1991,"UKRAINE","N"
5165,1991,"MACAO","N"
5246,1991,"NAURU","N"
5253,1991,"NAMIBIA","N"
5339,1991,"GUATEMALA","N"
5819,1991,"DOMINICA","N"
5821,1991,"MAURITANIA","N"
5832,1991,"NETHERLANDS ANTILLES","N"
5892,1991,"SURINAME","N"
5894,1991,"KAZAKHSTAN","N"
5960,1991,"SLOVAKIA","N"
6544,1991,"NIUE","N"
6709,1991,"GUINEA","N"
7070,1991,"BENIN","N"
7235,1991,"SINGAPORE","N"
7377,1991,"PAKISTAN","N"
7532,1991,"BELGIUM","N"
7570,1991,"AUSTRIA","N"
7639,1991,"AUSTRALIA","N"
7673,1991,"ANTARCTICA","N"
7749,1991,"KENYA","N"
7765,1991,"SWEDEN","N"
8040,1991,"ANGUILLA","N"
8109,1991,"HAITI","N"
8120,1991,"ANGUILLA","N"
8151,1991,"NIGER","N"
8245,1991,"SOUTH AFRICA","N"
8292,1991,"NETHERLANDS","N"
8623,1991,"NETHERLANDS","N"
8773,1991,"LESOTHO","N"
8779,1991,"KUWAIT","N"
8792,1991,"SAUDI ARABIA","N"
8848,1991,"MYANMAR","N"
9068,1991,"SAINT LUCIA","N"
9150,1991,"NEW ZEALAND","N"
9215,1991,"BARBADOS","N"
9450,1991,"NETHERLANDS ANTILLES","N"
9523,1991,"MONTSERRAT","N"
9721,1991,"FIJI","N"
9854,1991,"SOMALIA","N"
9,1966,"MONTSERRAT","N"
165,1966,"VIRGIN ISLANDS, U.S.","N"
500,1966,"LITHUANIA","N"
595,1966,"CAMEROON","N"
634,1966,"ALGERIA","N"
849,1966,"EL SALVADOR","N"
1070,1966,"BOUVET ISLAND","N"
1372,1966,"ZAMBIA","N"
1385,1966,"GUYANA","N"
1437,1966,"KYRGYZSTAN","N"
1575,1966,"SURINAME","N"
1694,1966,"SOMALIA","N"
1913,1966,"ITALY","N"
2061,1966,"MALAYSIA","N"
2348,1966,"JAPAN","N"
2428,1966,"AUSTRIA","N"
2673,1966,"PUERTO RICO","N"
2704,1966,"ERITREA","N"
2811,1966,"ANGOLA","N"
2902,1966,"JERSEY","N"
2932,1966,"TURKEY","N"
2953,1966,"PORTUGAL","N"
2962,1966,"MAURITANIA","N"
3111,1966,"AFGHANISTAN","N"
3123,1966,"MONACO","N"
